Rank,Player,W,L,T,GP,Pct,PF,PA,GB
1,Houston,11,6,0,17,0.6470588235294118,2184.54,1981.5,0.0
2,Abhi,11,6,0,17,0.6470588235294118,2396.78,2094.48,0.0
3,Weston,10,6,0,16,0.625,2349.0,1927.28,0.5
4,Justice,10,7,0,17,0.5882352941176471,2164.38,2208.9,1.0
5,Rhett,9,8,0,17,0.5294117647058824,2285.22,2335.68,2.0
6,Korben,8,8,0,16,0.5,1957.84,2050.12,2.5
7,Saxon,7,9,0,16,0.4375,1947.66,1978.94,3.5
8,Ryan,6,8,0,14,0.42857142857142855,1721.84,1844.68,3.5
9,James,6,8,0,14,0.42857142857142855,1692.76,1781.12,3.5
10,Brayden,6,8,0,14,0.42857142857142855,1657.08,1797.42,3.5
11,Ben,5,9,0,14,0.35714285714285715,1690.8,1977.36,4.5
12,Davis,4,10,0,14,0.2857142857142857,1632.22,1702.64,5.5
