Player,GP,Avg,AdjustedAvg,EWMA,StDev,High,Low,Streak,LuckIndex,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17
Abhi,16,127.62,127.58,122.92,27.72,190.3,97.3,1,-0.09,101.48,107.2,128.3,190.3,143.14,103.48,126.1,97.3,125.0,133.42,164.74,169.84,108.54,109.52,99.14,134.44,
Ben,17,126.22,129.57,138.46,21.25,167.56,88.96,3,1.23,126.84,128.28,96.5,113.52,114.06,133.46,158.98,120.62,88.96,141.66,136.76,112.06,127.0,102.2,167.56,125.58,151.66
Weston,17,138.06,138.54,142.76,25.06,189.88,84.42,1,-1.35,163.86,118.66,122.08,189.88,130.72,84.42,154.62,128.94,100.2,164.74,152.5,137.26,137.4,128.48,147.52,133.0,152.7
James,17,103.47,103.53,97.34,27.0,149.56,52.4,1,-1.14,103.52,87.76,96.32,102.78,86.78,99.94,121.92,146.3,131.48,100.44,73.88,74.86,94.1,142.4,149.56,52.4,94.5
Rhett,16,122.56,123.59,109.08,36.71,180.12,78.74,-2,-0.27,90.46,175.08,78.74,104.1,105.68,99.08,86.58,177.2,180.12,176.18,113.52,111.94,150.16,119.66,,112.16,80.28
Brayden,16,147.18,152.02,157.01,25.44,191.56,111.36,-1,-1.71,158.52,142.92,135.5,113.56,111.36,134.6,126.22,176.8,174.62,146.7,126.7,160.52,187.7,123.48,,191.56,144.16
Korben,16,117.86,117.29,111.97,20.37,163.76,83.64,-2,0.53,122.7,123.3,105.66,120.32,133.94,124.42,83.64,134.46,94.8,121.58,105.0,163.76,107.82,143.8,105.8,94.76,
Ryan,16,114.64,112.17,112.4,16.31,145.72,82.5,2,2.34,124.62,145.72,133.62,104.96,103.36,82.5,103.72,141.64,114.94,118.78,112.72,113.86,105.94,97.52,,109.12,121.24
Saxon,16,113.08,109.48,107.44,16.14,149.44,84.9,-5,-0.32,123.7,128.42,111.08,107.66,149.44,98.1,120.46,134.1,98.14,102.04,123.26,84.9,105.42,108.6,100.34,113.66,
Houston,16,123.0,121.51,119.34,26.57,152.88,64.14,1,-2.43,115.5,145.16,122.2,103.84,101.88,144.5,151.74,144.68,142.64,64.14,145.08,107.0,152.88,78.56,121.98,126.26,
Justice,17,106.82,110.13,108.58,15.46,127.16,74.72,-1,0.38,94.8,97.16,100.44,106.18,74.72,110.48,118.7,107.54,116.5,96.5,89.28,122.16,121.68,127.16,124.62,122.0,86.02
Davis,16,126.08,118.67,106.61,32.76,200.18,63.56,-4,2.84,116.22,200.18,132.46,97.08,148.0,133.38,110.06,165.84,119.3,116.96,155.02,148.74,99.36,63.56,,93.06,118.08
