Rank,Player,W,L,T,GP,Pct,PF,PA,GB
1,Abhi,10,3,0,13,0.7692307692307693,2060.0,1688.0,0.0
2,Ben,8,5,0,13,0.6153846153846154,1958.0,1786.0,2.0
3,Cody,8,5,0,13,0.6153846153846154,1851.0,1742.0,2.0
4,Korben,8,5,0,13,0.6153846153846154,1827.0,1894.0,2.0
5,Weston,8,5,0,13,0.6153846153846154,1810.0,1744.0,2.0
6,Brayden,6,7,0,13,0.46153846153846156,1822.0,1729.0,4.0
7,Harrison,6,7,0,13,0.46153846153846156,1654.0,1827.0,4.0
8,Griffin,5,8,0,13,0.38461538461538464,1807.0,1818.0,5.0
9,Peyton,5,8,0,13,0.38461538461538464,1718.0,1711.0,5.0
10,Leighton,5,8,0,13,0.38461538461538464,1680.0,1788.0,5.0
11,Rhett,5,8,0,13,0.38461538461538464,1573.0,1722.0,5.0
12,Saxon,4,9,0,13,0.3076923076923077,1340.0,1651.0,6.0
