Rank,Player,W,L,T,GP,Pct,PF,PA,GB
1,Rhett,10,3,0,13,0.7692307692307693,1503.0,1372.0,0.0
2,Weston,9,4,0,13,0.6923076923076923,1709.0,1584.0,1.0
3,Harrison,9,4,0,13,0.6923076923076923,1536.0,1398.0,1.0
4,Peyton,7,6,0,13,0.5384615384615384,1619.0,1520.0,3.0
5,Brayden,6,7,0,13,0.46153846153846156,1623.0,1594.0,4.0
6,Korben,6,7,0,13,0.46153846153846156,1484.0,1542.0,4.0
7,Abhi,5,8,0,13,0.38461538461538464,1618.0,1545.0,5.0
8,Griffin,5,8,0,13,0.38461538461538464,1385.0,1534.0,5.0
9,Ben,4,9,0,13,0.3076923076923077,1451.0,1571.0,6.0
10,Cody,4,9,0,13,0.3076923076923077,1266.0,1534.0,6.0
