Rank,Player,W,L,T,GP,Pct,PF,PA,GB
1,Davis,38,24,0,62,0.6129032258064516,7790.64,7527.14,0.0
2,Rhett,84,58,2,144,0.5902777777777778,18502.78,17570.58,-6.0
3,Brayden,82,59,0,141,0.5815602836879432,18582.3,17683.02,-4.5
4,Korben,83,60,0,143,0.5804195804195804,18103.2,17909.6,-4.5
5,Abhi,82,63,0,145,0.5655172413793104,19178.74,17617.66,-2.5
6,Weston,73,58,0,131,0.5572519083969466,17484.14,16614.0,-0.5
7,Harrison,31,32,0,63,0.49206349206349204,7138.0,7572.0,7.5
8,Ben,68,73,0,141,0.48226950354609927,17259.26,17943.16,9.5
9,Peyton,34,39,2,75,0.4666666666666667,9319.8,9056.18,9.5
10,Hudson,6,7,0,13,0.46153846153846156,1078.0,1132.0,7.5
11,Griffin,27,33,0,60,0.45,7122.0,7239.0,10.0
12,Houston,34,43,0,77,0.44155844155844154,9260.66,9329.38,11.5
13,Landon,7,9,0,16,0.4375,1556.0,1537.0,8.0
14,Ryan,39,51,0,90,0.43333333333333335,10636.64,11441.86,13.0
15,Cody,13,18,0,31,0.41935483870967744,3715.0,3886.0,9.5
16,Justice,32,46,0,78,0.41025641025641024,9243.24,9727.0,14.0
17,Leighton,5,8,0,13,0.38461538461538464,1680.0,1788.0,8.5
18,Jace,5,8,0,13,0.38461538461538464,1113.0,1258.0,8.5
19,James,41,67,0,108,0.37962962962962965,12747.28,13487.06,20.0
20,Saxon,38,66,0,104,0.36538461538461536,11678.28,12870.32,21.0
